epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1582.28,1.20827,1.25816,1.30487,0.87794,0.57621,0.69096,0.43593,1.32976,1.27015,1.34036,0.0011882,0.0011882,0.0011882
43,1618.89,1.20535,1.2425,1.30386,0.85053,0.59108,0.68432,0.44314,1.33903,1.2714,1.32199,0.0011684,0.0011684,0.0011684
44,1655.5,1.21506,1.24108,1.29006,0.83824,0.61644,0.69228,0.44172,1.3308,1.27037,1.35813,0.0011486,0.0011486,0.0011486
45,1691.79,1.22123,1.19872,1.2877,0.86295,0.57621,0.68709,0.44463,1.28029,1.24299,1.29983,0.0011288,0.0011288,0.0011288
46,1728.56,1.21579,1.20822,1.32235,0.86184,0.60292,0.69517,0.45223,1.32337,1.22682,1.336,0.001109,0.001109,0.001109
47,1764.95,1.18217,1.15141,1.26619,0.88602,0.63577,0.72902,0.48635,1.23397,1.23916,1.27376,0.0010892,0.0010892,0.0010892
48,1801.98,1.14806,1.15723,1.25163,0.84573,0.62082,0.70465,0.47209,1.2763,1.23014,1.31933,0.0010694,0.0010694,0.0010694
49,1846.7,1.13041,1.14034,1.25578,0.82186,0.63941,0.69674,0.4555,1.26929,1.21509,1.30038,0.0010496,0.0010496,0.0010496
50,1889.2,1.14074,1.16056,1.27453,0.85406,0.6171,0.70011,0.46352,1.23161,1.17078,1.26147,0.0010298,0.0010298,0.0010298
51,1928.75,1.12997,1.19275,1.23439,0.82839,0.57424,0.66909,0.43795,1.26649,1.33014,1.30426,0.00101,0.00101,0.00101
52,1969.87,1.13046,1.13281,1.24315,0.86545,0.61338,0.69628,0.45825,1.27387,1.20872,1.30539,0.0009902,0.0009902,0.0009902
53,2008.02,1.20101,1.17842,1.29421,0.85934,0.62454,0.71076,0.48387,1.22057,1.17624,1.2786,0.0009704,0.0009704,0.0009704
54,2047.36,1.15926,1.16868,1.26338,0.84762,0.62825,0.69375,0.4703,1.22974,1.25214,1.27151,0.0009506,0.0009506,0.0009506
55,2083.47,1.13106,1.15106,1.23122,0.76684,0.6171,0.68042,0.46111,1.23671,1.2672,1.30583,0.0009308,0.0009308,0.0009308
56,2119.02,1.11288,1.12476,1.24855,0.8807,0.6171,0.71107,0.49658,1.17911,1.16763,1.24131,0.000911,0.000911,0.000911
57,2154.86,1.11565,1.1444,1.23838,0.87622,0.59851,0.71607,0.48959,1.19753,1.1279,1.24932,0.0008912,0.0008912,0.0008912
58,2195.83,1.08817,1.07508,1.23929,0.78111,0.6235,0.69647,0.46995,1.22087,1.18564,1.27232,0.0008714,0.0008714,0.0008714
59,2237.1,1.07162,1.04275,1.20497,0.86462,0.63569,0.72316,0.48265,1.24059,1.19856,1.2817,0.0008516,0.0008516,0.0008516
60,2273.52,1.09713,1.12927,1.2324,0.84545,0.64312,0.7179,0.4836,1.23253,1.18419,1.29653,0.0008318,0.0008318,0.0008318
61,2311.78,1.09886,1.02263,1.22142,0.909,0.6313,0.73214,0.50347,1.20273,1.12361,1.26173,0.000812,0.000812,0.000812
62,2348.66,1.12551,1.08549,1.25124,0.87546,0.63569,0.72864,0.48054,1.24416,1.11464,1.27699,0.0007922,0.0007922,0.0007922
63,2386.48,1.0798,1.05552,1.2107,0.87769,0.63941,0.72048,0.48122,1.21584,1.12878,1.26359,0.0007724,0.0007724,0.0007724
64,2425.38,1.09237,1.04531,1.22214,0.85792,0.61338,0.71223,0.48151,1.24689,1.14794,1.30034,0.0007526,0.0007526,0.0007526
65,2465.65,1.06043,1.05461,1.21806,0.78692,0.66543,0.71381,0.47617,1.24287,1.18872,1.28663,0.0007328,0.0007328,0.0007328
66,2501.74,1.09925,1.05961,1.22894,0.84786,0.60081,0.70423,0.47766,1.21925,1.21321,1.26461,0.000713,0.000713,0.000713
67,2540.65,1.024,1.00496,1.18929,0.91407,0.5948,0.72011,0.48825,1.16663,1.17216,1.24018,0.0006932,0.0006932,0.0006932
68,2577.46,1.04969,1.05599,1.19833,0.82496,0.64684,0.71299,0.48176,1.19052,1.14722,1.26272,0.0006734,0.0006734,0.0006734
69,2615.23,1.04315,1.00723,1.20583,0.89057,0.62454,0.72053,0.49372,1.1893,1.10022,1.24228,0.0006536,0.0006536,0.0006536
70,2656.26,1.03551,1.00741,1.19997,0.88571,0.63379,0.72872,0.49194,1.19423,1.14341,1.25169,0.0006338,0.0006338,0.0006338
71,2697.06,1.02133,0.95497,1.18611,0.90649,0.61338,0.71807,0.49706,1.18419,1.1267,1.24236,0.000614,0.000614,0.000614
72,2731.33,1.01448,0.96202,1.17199,0.89815,0.62286,0.72719,0.49729,1.18824,1.11031,1.23567,0.0005942,0.0005942,0.0005942
73,2765.73,0.99879,0.94518,1.1615,0.87878,0.63941,0.72212,0.4945,1.19874,1.1533,1.24594,0.0005744,0.0005744,0.0005744
74,2800.05,1.03112,0.99033,1.1967,0.82214,0.68736,0.72879,0.50312,1.17678,1.0752,1.24618,0.0005546,0.0005546,0.0005546
75,2838.78,0.99241,0.99552,1.1989,0.84587,0.65799,0.73916,0.51231,1.13014,1.05317,1.21657,0.0005348,0.0005348,0.0005348
76,2878.59,0.97933,0.94197,1.15948,0.93498,0.62454,0.7461,0.50816,1.17934,1.05281,1.24576,0.000515,0.000515,0.000515
77,2921.44,0.9658,0.89957,1.1479,0.90468,0.63941,0.73855,0.50229,1.18939,1.04695,1.23158,0.0004952,0.0004952,0.0004952
78,2963.59,1.0195,0.95242,1.18315,0.89797,0.65428,0.74442,0.50682,1.16253,1.07617,1.23757,0.0004754,0.0004754,0.0004754
79,3005.36,0.97073,0.94055,1.14808,0.88072,0.64684,0.73121,0.50075,1.19078,1.091,1.23001,0.0004556,0.0004556,0.0004556
80,3046.64,0.971,0.90575,1.16198,0.87439,0.64694,0.74214,0.50667,1.18316,1.04868,1.24,0.0004358,0.0004358,0.0004358
81,3089.69,1.04928,0.96945,1.20324,0.90034,0.64312,0.73725,0.50788,1.15221,1.06618,1.20816,0.000416,0.000416,0.000416
82,3131.88,0.93619,0.87947,1.13112,0.93205,0.64684,0.74324,0.51027,1.17948,1.05682,1.20803,0.0003962,0.0003962,0.0003962
83,3171.11,0.95168,0.89014,1.14079,0.86095,0.67658,0.74415,0.51567,1.14646,1.05207,1.21406,0.0003764,0.0003764,0.0003764
84,3207.15,0.94969,0.83596,1.14227,0.89826,0.65799,0.74082,0.50013,1.1817,1.07284,1.2171,0.0003566,0.0003566,0.0003566
85,3243.37,0.96122,0.87746,1.14984,0.87561,0.66914,0.7351,0.5051,1.14105,1.04593,1.22012,0.0003368,0.0003368,0.0003368
86,3279.68,0.94694,0.88216,1.14593,0.89723,0.63941,0.73443,0.51666,1.12366,1.02717,1.20082,0.000317,0.000317,0.000317
87,3315.72,0.94199,0.87985,1.14537,0.88219,0.66812,0.74221,0.51288,1.12268,0.99569,1.21691,0.0002972,0.0002972,0.0002972
88,3355.95,0.91076,0.86657,1.13742,0.89221,0.65799,0.74198,0.51119,1.13891,1.02234,1.22353,0.0002774,0.0002774,0.0002774
89,3394.04,0.92106,0.85099,1.12511,0.88304,0.67359,0.74947,0.52165,1.11134,1.00066,1.19891,0.0002576,0.0002576,0.0002576
90,3434.94,0.93844,0.87361,1.14753,0.86141,0.67011,0.73798,0.51684,1.12707,1.02323,1.20462,0.0002378,0.0002378,0.0002378
91,3478.38,0.77846,0.73997,1.03828,0.91076,0.64494,0.73118,0.51533,1.11584,1.01205,1.2006,0.000218,0.000218,0.000218
92,3520.88,0.77486,0.7353,1.05123,0.86598,0.6726,0.73304,0.51958,1.10563,1.00437,1.19814,0.0001982,0.0001982,0.0001982
93,3568.15,0.7956,0.7142,1.07045,0.86579,0.67658,0.73731,0.52672,1.10574,1.00708,1.20135,0.0001784,0.0001784,0.0001784
94,3609.25,0.75787,0.68598,1.02648,0.88097,0.66031,0.74214,0.52669,1.12147,1.00892,1.20248,0.0001586,0.0001586,0.0001586
95,3651.47,0.78367,0.70042,1.04759,0.87886,0.67428,0.74042,0.52666,1.10222,0.98727,1.19621,0.0001388,0.0001388,0.0001388
96,3693.64,0.77332,0.69511,1.0243,0.88977,0.6602,0.74026,0.52285,1.11808,1.01577,1.20678,0.000119,0.000119,0.000119
97,3733.38,0.73252,0.64676,1.00072,0.87741,0.66543,0.74077,0.5167,1.11299,1.00728,1.20338,9.92e-05,9.92e-05,9.92e-05
98,3775.66,0.72032,0.64709,1.00607,0.86034,0.66543,0.73581,0.51541,1.11733,1.00055,1.2045,7.94e-05,7.94e-05,7.94e-05
99,3816.64,0.71877,0.65035,1.01668,0.86992,0.67124,0.73394,0.52044,1.10834,0.98221,1.20495,5.96e-05,5.96e-05,5.96e-05
100,3856.71,0.74086,0.62859,1.03401,0.84893,0.68773,0.73819,0.52364,1.10543,0.98328,1.20277,3.98e-05,3.98e-05,3.98e-05
